State,ST_CEN_CD,District,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),71,66.2
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),72.9,74.9
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),97,100
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine13 (%),76.9,76.4
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.4,85.9
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),92.3,87
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),40.7,0
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),75.2,0
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.2,62.1
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.2,54.3
Jharkhand,20,Bokaro,10,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),95.1,93.8
Jharkhand,20,Bokaro,10,Treatment of Childhood Diseases,Children age 12-23 months who received most of their vaccinations in a private health facility (%),4.9,6.2
Jharkhand,20,Bokaro,10,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),15.6,4.5
Jharkhand,20,Bokaro,10,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),67.4,54.3
Jharkhand,20,Bokaro,10,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),34.2,20
Jharkhand,20,Bokaro,10,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),60.3,55.7
Jharkhand,20,Bokaro,10,Treatment of Childhood Diseases,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.2,2.3
Jharkhand,20,Bokaro,10,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),62.1,69.7
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth15 (%),18,23
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed16 (%),60.9,74.2
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),0,62.5
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",16.5,8.3
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,"Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",0,0
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,"Total children age 6-23 months receiving an adequate diet16, 17 (%)",18.1,7.7
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age)18 (%),36.2,39.8
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height)18 (%),19.7,36.9
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height)19 (%),9.5,17.6
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age)18 (%),32.3,50.8
Jharkhand,20,Bokaro,10,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height)20 (%),3,1
Jharkhand,20,Bokaro,10,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18,26.6,30.7
Jharkhand,20,Bokaro,10,Nutritional Status of Women,Women who are overweight or obese (BMI ‚â•25,15.1,12.1
Jharkhand,20,Bokaro,10,Nutritional Status of Women,Women who have high risk waist-to-hip ratio (‚â•0,55.4,0
Jharkhand,20,Bokaro,10,Anaemia among Children and Women,Children age 6-59 months who are anaemic (<11,66.5,74
Jharkhand,20,Bokaro,10,Anaemia among Children and Women,Non-pregnant women age 15-49 years who are anaemic (<12,69,72.4
Jharkhand,20,Bokaro,10,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic (<11,63.6,73.7
Jharkhand,20,Bokaro,10,Anaemia among Children and Women,All women age 15-49 years who are anaemic22 (%),68.8,72.4
Jharkhand,20,Bokaro,10,Anaemia among Children and Women,All women age 15-19 years who are anaemic22 (%),68.2,72.4
Jharkhand,20,Bokaro,10,Blood Sugar Level among women,Blood sugar level - high (141-160 mg/dl)23 (%),4,0
Jharkhand,20,Bokaro,10,Blood Sugar Level among women,Blood sugar level - very high (>160 mg/dl)23 (%),5,0
Jharkhand,20,Bokaro,10,Blood Sugar Level among women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),9.4,0
Jharkhand,20,Bokaro,10,Blood Sugar Level among men,Blood sugar level - high (141-160 mg/dl)23 (%),6.4,0
Jharkhand,20,Bokaro,10,Blood Sugar Level among men,Blood sugar level - very high (>160 mg/dl)23 (%),7.4,0
Jharkhand,20,Bokaro,10,Blood Sugar Level among men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),14.8,0
Jharkhand,20,Bokaro,10,Hypertension among women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.4,0
Jharkhand,20,Bokaro,10,Hypertension among women,Moderately or severely elevated blood pressure (Systolic ‚â•160mm of Hg and/or Diastolic ‚â•100mm of Hg) (%),6.2,0
Jharkhand,20,Bokaro,10,Hypertension among women,Elevated blood pressure (Systolic ‚â•140 mm of Hg and/or Diastolic ‚â•90 mm of Hg) or taking medicine to control blood pressure (%),21.5,0
Jharkhand,20,Bokaro,10,Hypertension among men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.9,0
Jharkhand,20,Bokaro,10,Hypertension among men,Moderately or severely elevated blood pressure (Systolic ‚â•160mm of Hg and/or Diastolic ‚â•100mm of Hg) (%),8,0
Jharkhand,20,Bokaro,10,Hypertension among men,Elevated blood pressure (Systolic ‚â•140 mm of Hg and/or Diastolic ‚â•90 mm of Hg) or taking medicine to control blood pressure (%),27.5,0
Jharkhand,20,Bokaro,10,Screening for Cancer among Women,Ever undergone a screening test for cervical cancer (%),0.6,0
Jharkhand,20,Bokaro,10,Screening for Cancer among Women,Ever undergone a breast examination for breast cancer (%),0,0
Jharkhand,20,Bokaro,10,Screening for Cancer among Women,Ever undergone an oral cavity examination for oral cancer (%),0.4,0
Jharkhand,20,Bokaro,10,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who use any kind of tobacco (%),9,0
Jharkhand,20,Bokaro,10,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who use any kind of tobacco (%),45,0
Jharkhand,20,Bokaro,10,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who consume alcohol (%),2,0
Jharkhand,20,Bokaro,10,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who consume alcohol (%),27.9,0
Jharkhand,20,Chatra,2,Population and Household Profile,Female population age 6 years and above who ever attended school (%),60.7,57.3
Jharkhand,20,Chatra,2,Population and Household Profile,Population below age 15 years (%),36.8,39.4
Jharkhand,20,Chatra,2,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1136,1046
Jharkhand,20,Chatra,2,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",764,938
Jharkhand,20,Chatra,2,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),65.1,60.8
Jharkhand,20,Chatra,2,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),33.1,0
Jharkhand,20,Chatra,2,Population and Household Profile,Population living in households with electricity (%),92.1,42.8
Jharkhand,20,Chatra,2,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),83.3,65.9
Jharkhand,20,Chatra,2,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),48.1,14.8
Jharkhand,20,Chatra,2,Population and Household Profile,Households using clean fuel for cooking3 (%),20.4,10.8
Jharkhand,20,Chatra,2,Population and Household Profile,Households using iodized salt (%),97.8,98.2
Jharkhand,20,Chatra,2,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),46.5,12.8
Jharkhand,20,Chatra,2,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.4,0
Jharkhand,20,Chatra,2,Characteristics of Women,Women who are literate4 (%),57.7,0
Jharkhand,20,Chatra,2,Characteristics of Women,Women with 10 or more years of schooling (%),27.7,22.1
Jharkhand,20,Chatra,2,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),31.7,49
Jharkhand,20,Chatra,2,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),2.6,3.9
Jharkhand,20,Chatra,2,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),11.6,13.1
Jharkhand,20,Chatra,2,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),66.9,34.7
Jharkhand,20,Chatra,2,Current Use of Family Planning Methods,Any method6 (%),59.5,36.2
Jharkhand,20,Chatra,2,Current Use of Family Planning Methods,Any modern method6 (%),51.8,35.6
Jharkhand,20,Chatra,2,Current Use of Family Planning Methods,Female sterilization (%),45.9,33.3
Jharkhand,20,Chatra,2,Current Use of Family Planning Methods,Male sterilization (%),0.5,0
Jharkhand,20,Chatra,2,Current Use of Family Planning Methods,IUD/PPIUD (%),1,1
Jharkhand,20,Chatra,2,Current Use of Family Planning Methods,Pill (%),0.8,0
Jharkhand,20,Chatra,2,Current Use of Family Planning Methods,Condom (%),0.6,1
Jharkhand,20,Chatra,2,Current Use of Family Planning Methods,Injectables (%),0.3,0.3
Jharkhand,20,Chatra,2,Unmet Need for Family Planning,Total unmet need7 (%),10.1,19.8
Jharkhand,20,Chatra,2,Unmet Need for Family Planning,Unmet need for spacing7 (%),4.6,10.6
Jharkhand,20,Chatra,2,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),35.7,9.3
Jharkhand,20,Chatra,2,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),64,19.3
Jharkhand,20,Chatra,2,Maternal and Child Health,Mothers who had an antenatal check-up in the first trimester (%),57.1,28.3
Jharkhand,20,Chatra,2,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),32.4,11.8
Jharkhand,20,Chatra,2,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),84.9,82.1
Jharkhand,20,Chatra,2,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),28.2,6.9
Jharkhand,20,Chatra,2,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),15.4,4.3
Jharkhand,20,Chatra,2,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.1,77.6
Jharkhand,20,Chatra,2,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),61.2,38.5
Jharkhand,20,Chatra,2,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs,2066,2985
Jharkhand,20,Chatra,2,Maternal and Child Health,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0,2.3
Jharkhand,20,Chatra,2,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),59.1,0
Jharkhand,20,Chatra,2,Delivery Care,Institutional births (%),71.5,55.7
Jharkhand,20,Chatra,2,Delivery Care,Institutional births in public facility (%),51.8,35.7
Jharkhand,20,Chatra,2,Delivery Care,Home births that were conducted by skilled health personnel10 (%),5.5,7.3
Jharkhand,20,Chatra,2,Delivery Care,Births attended by skilled health personnel10 (%),73.5,62.4
Jharkhand,20,Chatra,2,Delivery Care,Births delivered by caesarean section (%),14.1,10.2
Jharkhand,20,Chatra,2,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),57.8,43.4
Jharkhand,20,Chatra,2,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),5.2,4.2
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),71.7,42
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),82.4,52
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),91.5,90.2
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine13 (%),73.6,61
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),80.7,58.9
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),78.7,66.9
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),26.9,0
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),75.1,0
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.7,39.3
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.7,55.6
Jharkhand,20,Chatra,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),99,97.3
Jharkhand,20,Chatra,2,Treatment of Childhood Diseases,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1,1.7
Jharkhand,20,Chatra,2,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.5,11.5
Jharkhand,20,Chatra,2,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),0,56.9
Jharkhand,20,Chatra,2,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),0,7.8
Jharkhand,20,Chatra,2,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,46
Jharkhand,20,Chatra,2,Treatment of Childhood Diseases,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.4,1.5
Jharkhand,20,Chatra,2,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),50.3,57.1
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth15 (%),24.8,27.2
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed16 (%),78.1,42.2
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),47.8,63.9
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",6.1,10.1
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,"Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",0,0
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,"Total children age 6-23 months receiving an adequate diet16, 17 (%)",6.1,10
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age)18 (%),42.2,49.6
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height)18 (%),17.2,30.6
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height)19 (%),3.9,9.6
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age)18 (%),39.8,51.3
Jharkhand,20,Chatra,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height)20 (%),1.3,1.3
Jharkhand,20,Chatra,2,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18,32.2,37.3
Jharkhand,20,Chatra,2,Nutritional Status of Women,Women who are overweight or obese (BMI ‚â•25,10.4,6.6
Jharkhand,20,Chatra,2,Nutritional Status of Women,Women who have high risk waist-to-hip ratio (‚â•0,57.8,0
Jharkhand,20,Chatra,2,Anaemia among Children and Women,Children age 6-59 months who are anaemic (<11,62.6,60.6
Jharkhand,20,Chatra,2,Anaemia among Children and Women,Non-pregnant women age 15-49 years who are anaemic (<12,55.9,55.9
Jharkhand,20,Chatra,2,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic (<11,56.5,66.9
Jharkhand,20,Chatra,2,Anaemia among Children and Women,All women age 15-49 years who are anaemic22 (%),56,56.6
Jharkhand,20,Chatra,2,Anaemia among Children and Women,All women age 15-19 years who are anaemic22 (%),55.7,52.6
Jharkhand,20,Chatra,2,Blood Sugar Level among women,Blood sugar level - high (141-160 mg/dl)23 (%),4.8,0
Jharkhand,20,Chatra,2,Blood Sugar Level among women,Blood sugar level - very high (>160 mg/dl)23 (%),5.1,0
Jharkhand,20,Chatra,2,Blood Sugar Level among women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),10.8,0
Jharkhand,20,Chatra,2,Blood Sugar Level among men,Blood sugar level - high (141-160 mg/dl)23 (%),7.3,0
Jharkhand,20,Chatra,2,Blood Sugar Level among men,Blood sugar level - very high (>160 mg/dl)23 (%),5.4,0
Jharkhand,20,Chatra,2,Blood Sugar Level among men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),13.1,0
Jharkhand,20,Chatra,2,Hypertension among women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.7,0
Jharkhand,20,Chatra,2,Hypertension among women,Moderately or severely elevated blood pressure (Systolic ‚â•160mm of Hg and/or Diastolic ‚â•100mm of Hg) (%),5,0
Jharkhand,20,Chatra,2,Hypertension among women,Elevated blood pressure (Systolic ‚â•140 mm of Hg and/or Diastolic ‚â•90 mm of Hg) or taking medicine to control blood pressure (%),16,0
Jharkhand,20,Chatra,2,Hypertension among men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.3,0
Jharkhand,20,Chatra,2,Hypertension among men,Moderately or severely elevated blood pressure (Systolic ‚â•160mm of Hg and/or Diastolic ‚â•100mm of Hg) (%),6.7,0
Jharkhand,20,Chatra,2,Hypertension among men,Elevated blood pressure (Systolic ‚â•140 mm of Hg and/or Diastolic ‚â•90 mm of Hg) or taking medicine to control blood pressure (%),22.1,0
Jharkhand,20,Chatra,2,Screening for Cancer among Women,Ever undergone a screening test for cervical cancer (%),0,0
Jharkhand,20,Chatra,2,Screening for Cancer among Women,Ever undergone a breast examination for breast cancer (%),0,0
Jharkhand,20,Chatra,2,Screening for Cancer among Women,Ever undergone an oral cavity examination for oral cancer (%),0.2,0
Jharkhand,20,Chatra,2,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who use any kind of tobacco (%),6.4,0
Jharkhand,20,Chatra,2,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who use any kind of tobacco (%),49.7,0
Jharkhand,20,Chatra,2,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who consume alcohol (%),5.9,0
Jharkhand,20,Chatra,2,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who consume alcohol (%),38.7,0
Jharkhand,20,Deoghar,5,Population and Household Profile,Female population age 6 years and above who ever attended school (%),59.8,59.9
Jharkhand,20,Deoghar,5,Population and Household Profile,Population below age 15 years (%),36,34.2
Jharkhand,20,Deoghar,5,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1068,958
Jharkhand,20,Deoghar,5,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",929,778
Jharkhand,20,Deoghar,5,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),55.7,62.6
Jharkhand,20,Deoghar,5,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),44.8,0
Jharkhand,20,Deoghar,5,Population and Household Profile,Population living in households with electricity (%),95.6,81.3
Jharkhand,20,Deoghar,5,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),90.8,86.6
Jharkhand,20,Deoghar,5,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),41.6,21.3
Jharkhand,20,Deoghar,5,Population and Household Profile,Households using clean fuel for cooking3 (%),23.5,20.5
Jharkhand,20,Deoghar,5,Population and Household Profile,Households using iodized salt (%),98.3,96.9
Jharkhand,20,Deoghar,5,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),53.8,8.2
